source,scope,line,endpoint,finding_type,severity,fail_flag,text_excerpt
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_nifty_chain_band_quote_collector,20217,quote,allowed_data_endpoint_reference,info,False,"blocker = ""Chain-band quote packets were captured, but all failed the freshness threshold."""
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_nifty_chain_band_quote_collector,20220,quote,allowed_data_endpoint_reference,info,False,"blocker = ""No usable chain-band quote packets were captured."""
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_t28_freshness_gate,20294,quote,allowed_data_endpoint_reference,info,False,"""note"": ""Reads T28 chain-band quote artifacts and decides whether Phase 2 paper-price reconciliation may open."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_t28_freshness_gate,20410,quote,allowed_data_endpoint_reference,info,False,"f""- Fresh quote rows: `{fresh_quote_rows}`"","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_t28_freshness_gate,20414,quote,allowed_data_endpoint_reference,info,False,"f""- Median quote age seconds: `{median_quote_age_seconds}`"","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_t28_freshness_gate,20415,quote,allowed_data_endpoint_reference,info,False,"f""- Max quote age seconds: `{max_quote_age_seconds}`"","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_phase2_paper_price_reconciliation_readiness,20619,quote,allowed_data_endpoint_reference,info,False,"f""- T28 fresh quote rows: `{t28_fresh_rows}`"","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_phase2_transition_controller,20853,cancel_order,documentation_or_string_reference,info,False,"""- `place_order`, `modify_order`, and `cancel_order` must not be imported or called."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_phase2_transition_controller,20853,modify_order,documentation_or_string_reference,info,False,"""- `place_order`, `modify_order`, and `cancel_order` must not be imported or called."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_phase2_transition_controller,20853,place_order,documentation_or_string_reference,info,False,"""- `place_order`, `modify_order`, and `cancel_order` must not be imported or called."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\run_tb11_phase1_auto_quote_observation.bat,wrapper_script,14,SSELL1_NONINTERACTIVE,noninteractive_guard_reference,info,False,set SSELL1_NONINTERACTIVE=1
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\run_tb11_t28_chain_band_freshness_gate.bat,wrapper_script,13,SSELL1_NONINTERACTIVE,noninteractive_guard_reference,info,False,set SSELL1_NONINTERACTIVE=1
